Instance		UB	LB

VFR10_10_1_Gap		1097	797
VFR10_10_10_Gap	1099	832
VFR10_10_2_Gap		1146	845
VFR10_10_3_Gap		1124	831
VFR10_10_4_Gap		1038	769
VFR10_10_5_Gap		1093	817
VFR10_10_6_Gap		1085	812
VFR10_10_7_Gap		1115	839
VFR10_10_8_Gap		1113	840
VFR10_10_9_Gap		1045	789

VFR10_15_1_Gap		1307	921
VFR10_15_10_Gap	1461	1085
VFR10_15_2_Gap		1399	988
VFR10_15_3_Gap		1398	996
VFR10_15_4_Gap		1452	1041
VFR10_15_5_Gap		1373	992
VFR10_15_6_Gap		1329	964
VFR10_15_7_Gap		1445	1049
VFR10_15_8_Gap		1443	1048
VFR10_15_9_Gap		1428	1058

VFR10_20_1_Gap		1652	1191
VFR10_20_10_Gap	1663	1248
VFR10_20_2_Gap		1759	1273
VFR10_20_3_Gap		1726	1254
VFR10_20_4_Gap		1678	1236
VFR10_20_5_Gap		1700	1259
VFR10_20_6_Gap		1889	1400
VFR10_20_7_Gap		1678	1251
VFR10_20_8_Gap		1655	1235
VFR10_20_9_Gap		1706	1280

VFR10_5_1_Gap		695	523
VFR10_5_10_Gap		664	554
VFR10_5_2_Gap		698	556
VFR10_5_3_Gap		728	588
VFR10_5_4_Gap		697	565
VFR10_5_5_Gap		713	578
VFR10_5_6_Gap		748	617
VFR10_5_7_Gap		728	602
VFR10_5_8_Gap		683	568
VFR10_5_9_Gap		761	633

VFR20_10_1_Gap		1532	1290
VFR20_10_10_Gap	1489	1279
VFR20_10_2_Gap		1525	1292
VFR20_10_3_Gap		1592	1352
VFR20_10_4_Gap		1442	1226
VFR20_10_5_Gap		1604	1371
VFR20_10_6_Gap		1576	1348
VFR20_10_7_Gap		1591	1363
VFR20_10_8_Gap		1574	1353
VFR20_10_9_Gap		1530	1312

VFR20_15_1_Gap		1936	1525
VFR20_15_10_Gap	1861	1511
VFR20_15_2_Gap		1905	1526
VFR20_15_3_Gap		1798	1453
VFR20_15_4_Gap		1813	1466
VFR20_15_5_Gap		1875	1517
VFR20_15_6_Gap		1960	1587
VFR20_15_7_Gap		1933	1566
VFR20_15_8_Gap		1822	1477
VFR20_15_9_Gap		1940	1575

VFR20_20_1_Gap		2270	1741
VFR20_20_10_Gap	2199	1732
VFR20_20_2_Gap		2170	1682
VFR20_20_3_Gap		2277	1772
VFR20_20_4_Gap		2165	1685
VFR20_20_5_Gap		2225	1736
VFR20_20_6_Gap		2291	1790
VFR20_20_7_Gap		2282	1785
VFR20_20_8_Gap		2178	1707
VFR20_20_9_Gap		2354	1851

VFR20_5_1_Gap		1192	1095
VFR20_5_10_Gap		1243	1164
VFR20_5_2_Gap		1275	1173
VFR20_5_3_Gap		1323	1224
VFR20_5_4_Gap		1127	1047
VFR20_5_5_Gap		1339	1244
VFR20_5_6_Gap		1066	994
VFR20_5_7_Gap		1154	1078
VFR20_5_8_Gap		1102	1030
VFR20_5_9_Gap		1317	1231

VFR30_10_1_Gap		1944	1721
VFR30_10_10_Gap	1915	1722
VFR30_10_2_Gap		2098	1860
VFR30_10_3_Gap		2077	1857
VFR30_10_4_Gap		1945	1747
VFR30_10_5_Gap		2023	1818
VFR30_10_6_Gap		2043	1830
VFR30_10_7_Gap		1967	1767
VFR30_10_8_Gap		1896	1701
VFR30_10_9_Gap		1908	1712

VFR30_15_1_Gap		2381	1999
VFR30_15_10_Gap	2385	2047
VFR30_15_2_Gap		2318	1952
VFR30_15_3_Gap		2304	1950
VFR30_15_4_Gap		2444	2079
VFR30_15_5_Gap		2423	2062
VFR30_15_6_Gap		2306	1968
VFR30_15_7_Gap		2316	1978
VFR30_15_8_Gap		2366	2019
VFR30_15_9_Gap		2259	1929

VFR30_20_1_Gap		2643	2119
VFR30_20_10_Gap	2805	2329
VFR30_20_2_Gap		2835	2284
VFR30_20_3_Gap		2783	2265
VFR30_20_4_Gap		2680	2213
VFR30_20_5_Gap		2672	2205
VFR30_20_6_Gap		2715	2245
VFR30_20_7_Gap		2712	2244
VFR30_20_8_Gap		2812	2328
VFR30_20_9_Gap		2795	2318

VFR30_5_1_Gap		1805	1727
VFR30_5_10_Gap		1637	1582
VFR30_5_2_Gap		1575	1510
VFR30_5_3_Gap		1673	1608
VFR30_5_4_Gap		1781	1716
VFR30_5_5_Gap		1707	1645
VFR30_5_6_Gap		1875	1807
VFR30_5_7_Gap		1749	1686
VFR30_5_8_Gap		1706	1646
VFR30_5_9_Gap		1735	1674

VFR40_10_1_Gap		2480	2258
VFR40_10_10_Gap	2478	2337
VFR40_10_2_Gap		2444	2237
VFR40_10_3_Gap		2412	2244
VFR40_10_4_Gap		2472	2313
VFR40_10_5_Gap		2425	2276
VFR40_10_6_Gap		2547	2387
VFR40_10_7_Gap		2501	2344
VFR40_10_8_Gap		2491	2338
VFR40_10_9_Gap		2411	2275

VFR40_15_1_Gap		3011	2624
VFR40_15_10_Gap	2945	2625
VFR40_15_2_Gap		2821	2491
VFR40_15_3_Gap		2906	2572
VFR40_15_4_Gap		2919	2576
VFR40_15_5_Gap		2945	2615
VFR40_15_6_Gap		2805	2494
VFR40_15_7_Gap		2868	2555
VFR40_15_8_Gap		2900	2578
VFR40_15_9_Gap		2708	2407

VFR40_20_1_Gap		3326	2770
VFR40_20_10_Gap	3122	2653
VFR40_20_2_Gap		3226	2697
VFR40_20_3_Gap		3233	2713
VFR40_20_4_Gap		3233	2724
VFR40_20_5_Gap		3055	2571
VFR40_20_6_Gap		3192	2699
VFR40_20_7_Gap		3244	2749
VFR40_20_8_Gap		3266	2764
VFR40_20_9_Gap		3335	2834

VFR40_5_1_Gap		2396	2292
VFR40_5_10_Gap		2348	2289
VFR40_5_2_Gap		2442	2351
VFR40_5_3_Gap		2174	2106
VFR40_5_4_Gap		2149	2082
VFR40_5_5_Gap		2247	2179
VFR40_5_6_Gap		2154	2091
VFR40_5_7_Gap		2207	2143
VFR40_5_8_Gap		2414	2350
VFR40_5_9_Gap		2305	2247

VFR50_10_1_Gap		2926	2746
